filename,creator,title,alternate_title,work_type,date,description,location,subjects,collection,local_identifier,source,resource_type,file_name,ssid,rights_notes,disclaimer
33_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level, main entrance stairway",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T16,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t016_post_as_8b.fpx.jpg,11986521,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
37_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, view from above",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T2,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t002_post_as_8b.fpx.jpg,11968782,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
38_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,view of construction,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R10,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.010.fpx.jpg,11963081,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
53_Rohe-LakeShoreDrive-1948-1951.jpg,Ludwig Mies van der Rohe,Lake Shore Drive Apartments,"exterior, street level, entrance",architecture,1948-1951,Photographer: Ezra Stoller,"860-880 North Lake Shore Drive, Chicago, Illinois","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",56Q3,Image and original data provided by Esto,Images,/fpx/stoller/d0001/56q.003.fpx.jpg,11978179,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
57_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level, night",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T12,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.012.fpx.jpg,11980902,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
5_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level walkway, view to street",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T28,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t028_post_as_8b.fpx.jpg,11984672,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
18_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, upper floor, window detail",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T20,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t020_post_as_8b.fpx.jpg,11966375,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
19_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, conference room",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T39,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t039_post_as_8b.fpx.jpg,11976926,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
20_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,view of construction,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R4,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.004.fpx.jpg,11966634,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
29_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T1,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.001.fpx.jpg,11974402,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
43_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, reception area",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T33,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t033_post_as_8b.fpx.jpg,11964901,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
49_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, meeting room",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T45,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.045.fpx.jpg,11972829,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
12_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, reception area",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T35,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.035.fpx.jpg,11985812,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
35_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,construction site,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R2,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.002.fpx.jpg,11964674,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
55_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,construction site,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R3,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.003.fpx.jpg,11990872,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
64_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level, night",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T5,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.005.fpx.jpg,11988071,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
66_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,view of construction,architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",40R7,Image and original data provided by Esto,Images,/fpx/stoller/d0001/40r.007.fpx.jpg,11970336,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
67_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, upper window detail",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T19,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t019_post_as_8bit.fpx.jpg,11923723,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com; Rohe: © 2008 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
68_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, plaza",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T9,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t009_post_as_8b.fpx.jpg,11991473,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
4_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level, covered walkway",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T17,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t017_post_as_8b.fpx.jpg,11969107,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
21_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, view to cityscape",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T25,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.025.fpx.jpg,11967629,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
27_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, office space",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T43,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t043_post_as_8b.fpx.jpg,11989475,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
28_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, reception area",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T34,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.034.fpx.jpg,11959948,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
44_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, meeting room",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T47,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.047.fpx.jpg,11970978,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
47_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, roof",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T23,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.023.fpx.jpg,11986386,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
48_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, office space",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T46,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t046_post_as_8b.fpx.jpg,11990230,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
2_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, office space",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T36,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t036_post_as_8b.fpx.jpg,11974136,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
3_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, tasting room",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T44,Image and original data provided by Esto,Images,/fpx/stoller/d0001/41t.044.fpx.jpg,11982561,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
22_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T54,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t054_post_as_8b.fpx.jpg,11971923,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
24_Skidmore-ChaseManhattanBank-1959.jpg,"Skidmore, Owings & Merrill, Gordon Bunshaft, designer",Chase Manhattan Bank,"interior, office with Mies van der Rohe Barcelona chairs",,1959,Photographer: Ezra Stoller,"410 Park Ave., New York, NY","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_103u005_post_as_8bit.fpx.jpg,11937720,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
25_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"exterior, street level",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T53,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t053_post_as_8b.fpx.jpg,11990021,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
26_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, view from upper floor to street",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T24,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t024_post_as_8b.fpx.jpg,11988666,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
45_Ludwig Mies van der Rohe-SeagramBuilding-1958.jpg,"Ludwig Mies van der Rohe, Philip Johnson, Kahn & Jacobs",Seagram Building,"interior, office space",architecture,1958,Photographer: Ezra Stoller,"375 Park Avenue between East 52nd and East 53rd Streets, New York, New York","Stoller, Ezra","Ezra Stoller Archive, Esto Photographics Inc. (Esto)",41T40,Image and original data provided by Esto,Images,/fpx/stoller/d0001/esto_041t040_post_as_8b.fpx.jpg,11966745,"Ezra Stoller © Esto; For commercial use or publication, please contact Esto, 222 Valley Place, Marmaroneck, NY 10543, Email: sales@esto.com",Use of this image is in accordance with the JSTOR Terms & Conditions (https://about.jstor.org/terms/)
